price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,avg_change,changeCategory
61.990002,65.68,61.900002,64.32,45573000,63.111244,11/2/2018,SBUX,0.097049298,0.097049273,1.326542972,More
63.93,65.129997,63.82,64.480003,23242600,63.268242,11/5/2018,SBUX,0.002487639,0.002487609,1.226297017,More
64.300003,66.080002,64.25,66.010002,16065400,64.769485,11/6/2018,SBUX,0.023728224,0.023728271,0.559810033,More
66.290001,68.209999,66.040001,68.160004,16465000,66.879089,11/7/2018,SBUX,0.032570955,0.032570852,-0.220073596,Even
67.779999,68.980003,67.629997,68.720001,14081700,67.428566,11/8/2018,SBUX,0.008215976,0.008215918,-0.388206629,Even
68.489998,68.959999,68.080002,68.599998,8637200,67.310806,11/9/2018,SBUX,-0.001746441,-0.00174626,-0.181823596,Even
68.440002,68.940002,67.800003,67.910004,12789600,66.633774,11/12/2018,SBUX,-0.010058296,-0.010058222,0.181579067,Even
67.940002,68.279999,67.099998,67.410004,16637000,66.143173,11/13/2018,SBUX,-0.007362648,-0.007362685,0.254607224,Even
67.300003,67.949997,66.730003,67.040001,13350500,66.133316,11/14/2018,SBUX,-0.000149025,-0.005488844,0.04143128,Even
66.709999,67.760002,66.360001,67.620003,15246500,66.705467,11/15/2018,SBUX,0.008651479,0.008651581,-0.251748585,Even
67.300003,68.529999,67.089996,68.160004,9287900,67.238167,11/16/2018,SBUX,0.007985852,0.007985817,-0.732752687,Less
68.099998,68.470001,67.230003,67.910004,10855400,66.991554,11/19/2018,SBUX,-0.003667753,-0.00366784,-0.666167592,Less
67.389999,67.879997,66.760002,67.18,11208900,66.271423,11/20/2018,SBUX,-0.010749579,-0.01074958,-0.33190452,Even
67.470001,67.980003,66.75,66.769997,10978100,65.866959,11/21/2018,SBUX,-0.006103143,-0.006103052,0.015105215,Even
66.239998,66.239998,65.260002,65.699997,7779800,64.81144,11/23/2018,SBUX,-0.016025015,-0.016025162,0.356309394,Even
65.980003,66.120003,65.209999,65.690002,13066800,64.801575,11/26/2018,SBUX,-0.000152211,-0.000152131,0.31006269,Even
65.459999,66.550003,65.309998,66.080002,13169100,65.186302,11/27/2018,SBUX,0.005937001,0.005936977,0.425147541,Even
66.18,66.989998,65.480003,66.82,12867600,65.91629,11/28/2018,SBUX,0.011198488,0.011198517,-0.050811543,Even
66.68,67.279999,66.120003,66.879997,9605500,65.975471,11/29/2018,SBUX,0.000897821,0.00089789,-0.098711945,Even
66.860001,67.379997,66.650002,66.720001,27308900,65.817642,11/30/2018,SBUX,-0.002392238,-0.002392285,-0.375499017,Even
67.370003,68.059998,66.660004,67.5,13834300,66.58709,12/3/2018,SBUX,0.011690604,0.011690632,-0.606040911,Less
67.470001,68.150002,66.449997,66.650002,13555100,65.748589,12/4/2018,SBUX,-0.012592546,-0.012592563,-0.221159712,Even
66.129997,66.669998,65.589996,66.550003,17222200,65.64994,12/6/2018,SBUX,-0.001500397,-0.00150036,-0.12744552,Even
